Original,Traduzido,Diretório,Tamanho Original,Tamanho Traduzido,Diferença %
_bmad/bmm/workflows/2-plan-workflows/create-ux-design/steps/step-01b-continue.md,_bmad/bmm/workflows/2-plan-workflows/create-ux-design/steps/step-01b-continue_pt-br.md,bmm/workflows/2-plan-workflows/create-ux-design/steps,4750,5363,+12.9
_bmad/bmm/workflows/2-plan-workflows/create-ux-design/steps/step-02-discovery.md,_bmad/bmm/workflows/2-plan-workflows/create-ux-design/steps/step-02-discovery_pt-br.md,bmm/workflows/2-plan-workflows/create-ux-design/steps,7628,5628,-26.2
_bmad/bmm/workflows/2-plan-workflows/create-ux-design/steps/step-03-core-experience.md,_bmad/bmm/workflows/2-plan-workflows/create-ux-design/steps/step-03-core-experience_pt-br.md,bmm/workflows/2-plan-workflows/create-ux-design/steps,8068,5674,-29.7
_bmad/bmm/workflows/2-plan-workflows/create-ux-design/steps/step-04-emotional-response.md,_bmad/bmm/workflows/2-plan-workflows/create-ux-design/steps/step-04-emotional-response_pt-br.md,bmm/workflows/2-plan-workflows/create-ux-design/steps,8134,5546,-31.8
_bmad/bmm/workflows/2-plan-workflows/create-ux-design/steps/step-05-inspiration.md,_bmad/bmm/workflows/2-plan-workflows/create-ux-design/steps/step-05-inspiration_pt-br.md,bmm/workflows/2-plan-workflows/create-ux-design/steps,8469,5347,-36.9
_bmad/bmm/workflows/2-plan-workflows/create-ux-design/steps/step-06-design-system.md,_bmad/bmm/workflows/2-plan-workflows/create-ux-design/steps/step-06-design-system_pt-br.md,bmm/workflows/2-plan-workflows/create-ux-design/steps,8682,5696,-34.4
_bmad/bmm/workflows/2-plan-workflows/create-ux-design/steps/step-07-defining-experience.md,_bmad/bmm/workflows/2-plan-workflows/create-ux-design/steps/step-07-defining-experience_pt-br.md,bmm/workflows/2-plan-workflows/create-ux-design/steps,8637,5582,-35.4
_bmad/bmm/workflows/2-plan-workflows/create-ux-design/steps/step-08-visual-foundation.md,_bmad/bmm/workflows/2-plan-workflows/create-ux-design/steps/step-08-visual-foundation_pt-br.md,bmm/workflows/2-plan-workflows/create-ux-design/steps,8297,5686,-31.5
_bmad/bmm/workflows/2-plan-workflows/create-ux-design/steps/step-09-design-directions.md,_bmad/bmm/workflows/2-plan-workflows/create-ux-design/steps/step-09-design-directions_pt-br.md,bmm/workflows/2-plan-workflows/create-ux-design/steps,8476,5660,-33.2
_bmad/bmm/workflows/2-plan-workflows/create-ux-design/steps/step-10-user-journeys.md,_bmad/bmm/workflows/2-plan-workflows/create-ux-design/steps/step-10-user-journeys_pt-br.md,bmm/workflows/2-plan-workflows/create-ux-design/steps,8256,5684,-31.2
_bmad/bmm/workflows/2-plan-workflows/create-ux-design/steps/step-11-component-strategy.md,_bmad/bmm/workflows/2-plan-workflows/create-ux-design/steps/step-11-component-strategy_pt-br.md,bmm/workflows/2-plan-workflows/create-ux-design/steps,8609,5800,-32.6
_bmad/bmm/workflows/2-plan-workflows/create-ux-design/steps/step-12-ux-patterns.md,_bmad/bmm/workflows/2-plan-workflows/create-ux-design/steps/step-12-ux-patterns_pt-br.md,bmm/workflows/2-plan-workflows/create-ux-design/steps,7886,5697,-27.8
_bmad/bmm/workflows/2-plan-workflows/create-ux-design/steps/step-13-responsive-accessibility.md,_bmad/bmm/workflows/2-plan-workflows/create-ux-design/steps/step-13-responsive-accessibility_pt-br.md,bmm/workflows/2-plan-workflows/create-ux-design/steps,8992,5758,-36.0
_bmad/bmm/workflows/2-plan-workflows/create-ux-design/steps/step-14-complete.md,_bmad/bmm/workflows/2-plan-workflows/create-ux-design/steps/step-14-complete_pt-br.md,bmm/workflows/2-plan-workflows/create-ux-design/steps,8484,5931,-30.1
_bmad/bmm/workflows/2-plan-workflows/create-ux-design/ux-design-template.md,_bmad/bmm/workflows/2-plan-workflows/create-ux-design/ux-design-template_pt-br.md,bmm/workflows/2-plan-workflows/create-ux-design,236,240,+1.7
_bmad/bmm/workflows/2-plan-workflows/create-ux-design/workflow.md,_bmad/bmm/workflows/2-plan-workflows/create-ux-design/workflow_pt-br.md,bmm/workflows/2-plan-workflows/create-ux-design,2178,2312,+6.2
_bmad/bmm/workflows/2-plan-workflows/prd/prd-template.md,_bmad/bmm/workflows/2-plan-workflows/prd/prd-template_pt-br.md,bmm/workflows/2-plan-workflows/prd,254,259,+2.0
_bmad/bmm/workflows/2-plan-workflows/prd/steps/step-01-init.md,_bmad/bmm/workflows/2-plan-workflows/prd/steps/step-01-init_pt-br.md,bmm/workflows/2-plan-workflows/prd/steps,9205,5855,-36.4
_bmad/bmm/workflows/2-plan-workflows/prd/steps/step-01b-continue.md,_bmad/bmm/workflows/2-plan-workflows/prd/steps/step-01b-continue_pt-br.md,bmm/workflows/2-plan-workflows/prd/steps,5608,5674,+1.2
_bmad/bmm/workflows/2-plan-workflows/prd/steps/step-02-discovery.md,_bmad/bmm/workflows/2-plan-workflows/prd/steps/step-02-discovery_pt-br.md,bmm/workflows/2-plan-workflows/prd/steps,14864,5572,-62.5
_bmad/bmm/workflows/2-plan-workflows/prd/steps/step-03-success.md,_bmad/bmm/workflows/2-plan-workflows/prd/steps/step-03-success_pt-br.md,bmm/workflows/2-plan-workflows/prd/steps,10345,5647,-45.4
_bmad/bmm/workflows/2-plan-workflows/prd/steps/step-04-journeys.md,_bmad/bmm/workflows/2-plan-workflows/prd/steps/step-04-journeys_pt-br.md,bmm/workflows/2-plan-workflows/prd/steps,11945,5684,-52.4
_bmad/bmm/workflows/2-plan-workflows/prd/steps/step-05-domain.md,_bmad/bmm/workflows/2-plan-workflows/prd/steps/step-05-domain_pt-br.md,bmm/workflows/2-plan-workflows/prd/steps,10156,5696,-43.9
_bmad/bmm/workflows/2-plan-workflows/prd/steps/step-06-innovation.md,_bmad/bmm/workflows/2-plan-workflows/prd/steps/step-06-innovation_pt-br.md,bmm/workflows/2-plan-workflows/prd/steps,10051,5509,-45.2
_bmad/bmm/workflows/2-plan-workflows/prd/steps/step-07-project-type.md,_bmad/bmm/workflows/2-plan-workflows/prd/steps/step-07-project-type_pt-br.md,bmm/workflows/2-plan-workflows/prd/steps,9734,5625,-42.2
